trip_id,sol,trip_index,crew_served,route_km,payload_kg,terrain_risk_score,energy_kwh,dust_storm_flag,battery_soh
0,0,0,100,2.46,203.2,0.298,13.59,0,1.0
1,0,1,100,1.82,58.7,0.653,17.92,0,1.0
2,0,2,100,2.26,77.7,0.218,9.62,0,1.0
3,0,3,100,2.38,206.0,0.278,13.86,0,0.9999
4,0,4,100,5.5,217.3,0.296,16.28,0,0.9999
5,0,5,100,1.91,135.3,0.392,15.59,0,0.9999
6,1,0,100,5.28,159.0,0.111,13.14,0,0.9995
7,1,1,100,6.44,171.0,0.307,12.7,0,0.9995
8,1,2,100,6.09,114.3,0.837,18.23,0,0.9995
9,1,3,100,3.44,169.0,0.551,16.68,0,0.9995
10,2,0,100,3.45,106.7,0.708,17.4,0,0.9991
11,2,1,100,4.34,126.9,0.452,15.87,0,0.9991
12,2,2,100,1.85,196.7,0.107,10.25,0,0.9991
13,2,3,100,1.65,211.4,0.195,12.35,0,0.999
14,3,0,100,3.94,187.5,0.757,19.08,0,0.9987
15,3,1,100,4.75,195.2,0.837,18.88,0,0.9987
16,3,2,100,5.34,172.7,0.412,18.34,0,0.9986
17,3,3,100,4.54,104.6,0.328,14.05,0,0.9986
18,4,0,100,1.53,198.2,0.692,17.66,0,0.9982
19,4,1,100,3.56,174.8,0.542,15.69,0,0.9982
20,4,2,100,3.17,100.3,0.303,14.35,0,0.9982
21,4,3,100,1.58,79.6,0.648,16.72,0,0.9982
22,5,0,100,2.01,93.4,0.664,19.29,0,0.9978
23,5,1,100,2.15,52.9,0.167,13.06,0,0.9978
24,5,2,100,3.96,201.1,0.236,15.34,0,0.9978
25,5,3,100,3.75,95.5,0.661,19.34,0,0.9978
26,6,0,100,1.61,100.2,0.106,9.13,0,0.9974
27,6,1,100,5.28,175.3,0.174,16.5,0,0.9974
28,6,2,100,3.97,172.5,0.645,16.21,0,0.9973
29,6,3,100,5.29,79.5,0.112,13.73,0,0.9973
30,7,0,100,3.63,217.7,0.58,18.0,0,0.997
31,7,1,100,2.05,96.1,0.468,17.84,0,0.9969
32,7,2,100,1.65,61.1,0.157,14.45,0,0.9969
33,7,3,100,3.8,70.1,0.565,15.69,0,0.9969
34,7,4,100,2.43,109.3,0.107,13.99,0,0.9969
35,7,5,100,3.21,176.4,0.151,14.09,0,0.9969
36,8,0,100,5.42,191.8,0.614,19.0,0,0.9965
37,8,1,100,4.47,72.9,0.212,11.78,0,0.9965
38,8,2,100,5.44,108.5,0.445,16.41,0,0.9964
39,8,3,100,4.83,176.5,0.279,14.9,0,0.9964
40,9,0,100,3.28,201.5,0.253,13.09,0,0.996
41,9,1,100,5.1,59.4,0.555,21.13,0,0.996
42,9,2,100,0.88,58.1,0.35,15.46,0,0.996
43,9,3,100,0.97,213.8,0.433,14.92,0,0.996
44,10,0,100,4.71,102.7,0.594,15.86,0,0.9956
45,10,1,100,6.32,183.9,0.731,16.65,0,0.9956
46,10,2,100,0.92,204.8,0.35,16.72,0,0.9956
47,10,3,100,6.1,163.0,0.207,13.32,0,0.9956
48,11,0,100,4.72,88.6,0.53,16.75,0,0.9952
49,11,1,100,4.94,104.5,0.302,16.42,0,0.9952
50,11,2,100,2.12,153.6,0.409,14.22,0,0.9951
51,11,3,100,1.08,118.6,0.339,14.86,0,0.9951
52,12,0,100,2.36,118.5,0.893,19.58,0,0.9948
53,12,1,100,3.64,165.0,0.412,16.12,0,0.9947
54,12,2,100,2.48,76.8,0.646,19.34,0,0.9947
55,12,3,100,2.91,49.7,0.491,12.42,0,0.9947
56,13,0,100,2.79,79.3,0.205,14.06,0,0.9943
57,13,1,100,1.42,139.1,0.428,16.77,0,0.9943
58,13,2,100,2.4,136.6,0.747,17.06,0,0.9943
59,13,3,100,3.07,125.9,0.104,11.22,0,0.9943
60,14,0,100,3.26,138.4,0.536,15.09,0,0.9939
61,14,1,100,2.08,89.1,0.893,18.19,0,0.9939
62,14,2,100,3.99,45.1,0.48,16.04,0,0.9939
63,14,3,100,4.87,40.9,0.427,15.9,0,0.9938
64,14,4,100,6.34,186.5,0.671,15.76,0,0.9938
65,14,5,100,5.53,212.0,0.203,14.83,0,0.9938
66,15,0,100,3.27,211.0,0.748,16.11,0,0.9934
67,15,1,100,5.95,101.6,0.375,17.34,0,0.9934
68,15,2,100,4.18,127.4,0.408,12.36,0,0.9934
69,15,3,100,3.38,184.2,0.822,20.78,0,0.9934
70,16,0,100,2.43,215.9,0.181,12.22,0,0.993
71,16,1,100,0.95,104.8,0.799,19.33,0,0.993
72,16,2,100,0.84,77.4,0.741,15.84,0,0.993
73,16,3,100,3.3,196.1,0.361,13.98,0,0.9929
74,17,0,100,4.63,143.5,0.754,18.52,0,0.9926
75,17,1,100,6.48,55.0,0.19,12.61,0,0.9926
76,17,2,100,6.32,102.2,0.411,12.99,0,0.9925
77,17,3,100,3.87,143.3,0.12,12.33,0,0.9925
78,18,0,100,3.8,192.5,0.377,15.55,0,0.9921
79,18,1,100,3.05,116.2,0.104,13.93,0,0.9921
80,18,2,100,6.32,156.7,0.149,13.91,0,0.9921
81,18,3,100,1.11,126.1,0.186,15.03,0,0.9921
82,19,0,100,1.52,56.2,0.704,16.81,0,0.9917
83,19,1,100,5.22,211.5,0.871,18.1,0,0.9917
84,19,2,100,2.17,121.0,0.601,15.6,0,0.9917
85,19,3,100,6.23,96.4,0.228,15.96,0,0.9916
86,20,0,100,1.33,152.4,0.123,12.26,0,0.9913
87,20,1,100,1.2,62.6,0.543,13.62,0,0.9913
88,20,2,100,3.55,84.4,0.861,21.5,0,0.9912
89,20,3,100,5.53,74.6,0.224,15.67,0,0.9912
90,21,0,100,3.88,78.4,0.298,12.65,0,0.9909
91,21,1,100,3.95,65.8,0.808,19.48,0,0.9908
92,21,2,100,3.58,107.3,0.173,16.32,0,0.9908
93,21,3,100,3.27,99.0,0.675,14.79,0,0.9908
94,21,4,100,1.64,48.2,0.414,13.44,0,0.9908
95,21,5,100,1.23,55.3,0.211,14.22,0,0.9908
96,22,0,100,1.78,46.5,0.725,15.48,0,0.9904
97,22,1,100,2.96,130.7,0.507,16.55,0,0.9904
98,22,2,100,2.13,184.0,0.771,17.76,0,0.9903
99,22,3,100,5.58,122.1,0.62,16.12,0,0.9903
100,23,0,100,1.18,178.6,0.736,16.54,0,0.9899
101,23,1,100,1.62,173.5,0.764,18.75,0,0.9899
102,23,2,100,2.4,163.1,0.271,13.57,0,0.9899
103,23,3,100,3.54,104.2,0.206,14.11,0,0.9899
104,24,0,100,4.9,203.2,0.684,16.14,0,0.9895
105,24,1,100,5.27,145.6,0.755,18.79,0,0.9895
106,24,2,100,5.37,60.7,0.138,16.11,0,0.9895
107,24,3,100,2.94,205.4,0.877,19.73,0,0.9895
108,25,0,100,0.88,105.8,0.516,16.47,0,0.9891
109,25,1,100,5.65,111.5,0.573,17.53,0,0.9891
110,25,2,100,4.34,42.1,0.457,15.81,0,0.989
111,25,3,100,1.42,40.3,0.335,13.86,0,0.989
112,26,0,100,0.91,88.3,0.754,19.01,0,0.9887
113,26,1,100,1.47,135.4,0.387,14.47,0,0.9886
114,26,2,100,2.9,59.0,0.398,16.89,0,0.9886
115,26,3,100,2.44,80.8,0.211,14.24,0,0.9886
116,27,0,100,1.9,207.3,0.221,12.23,0,0.9882
117,27,1,100,1.59,209.8,0.522,16.72,0,0.9882
118,27,2,100,5.44,113.6,0.579,16.73,0,0.9882
119,27,3,100,1.62,82.3,0.121,13.28,0,0.9882
120,28,0,100,6.29,133.3,0.604,17.64,0,0.9878
121,28,1,100,1.65,73.5,0.591,14.97,0,0.9878
122,28,2,100,2.39,215.2,0.604,15.66,0,0.9878
123,28,3,100,2.12,121.0,0.471,16.31,0,0.9877
124,28,4,100,5.17,114.9,0.771,16.16,0,0.9877
125,28,5,100,1.55,50.3,0.807,16.12,0,0.9877
126,29,0,100,4.08,214.4,0.298,15.28,0,0.9873
127,29,1,100,1.42,202.8,0.687,19.48,0,0.9873
128,29,2,100,4.04,121.9,0.742,19.54,0,0.9873
129,29,3,100,1.52,83.3,0.48,12.8,0,0.9873
130,30,0,100,4.51,129.2,0.612,16.92,0,0.9869
131,30,1,100,6.27,168.0,0.485,14.69,0,0.9869
132,30,2,100,3.9,135.7,0.584,16.11,0,0.9869
133,30,3,100,6.32,82.6,0.163,12.52,0,0.9868
134,31,0,100,2.99,59.5,0.818,18.17,0,0.9865
135,31,1,100,1.41,202.2,0.895,20.26,0,0.9864
136,31,2,100,1.79,151.3,0.546,17.88,0,0.9864
137,31,3,100,3.75,67.2,0.896,18.52,0,0.9864
138,32,0,100,5.46,103.7,0.619,14.85,0,0.986
139,32,1,100,1.16,138.5,0.323,13.23,0,0.986
140,32,2,100,4.01,118.1,0.162,12.21,0,0.986
141,32,3,100,4.14,178.8,0.892,17.04,0,0.986
142,33,0,100,2.93,61.5,0.299,14.96,0,0.9856
143,33,1,100,4.25,205.5,0.311,17.14,0,0.9856
144,33,2,100,5.69,59.9,0.622,16.12,0,0.9856
145,33,3,100,5.25,70.0,0.131,12.07,0,0.9856
146,34,0,100,5.27,179.9,0.621,13.8,0,0.9852
147,34,1,100,3.23,59.1,0.5,16.62,0,0.9852
148,34,2,100,3.37,104.7,0.628,17.62,0,0.9851
149,34,3,100,5.38,206.7,0.669,15.7,0,0.9851
150,35,0,100,3.61,96.1,0.501,16.95,0,0.9848
151,35,1,100,3.95,192.2,0.557,15.69,0,0.9847
152,35,2,100,2.56,199.9,0.469,17.63,0,0.9847
153,35,3,100,2.62,195.0,0.199,11.58,0,0.9847
154,35,4,100,4.41,87.3,0.618,20.45,0,0.9847
155,35,5,100,1.53,102.2,0.537,17.19,0,0.9847
156,36,0,100,0.96,99.6,0.294,16.73,0,0.9843
157,36,1,100,2.81,137.8,0.809,18.06,0,0.9843
158,36,2,100,1.64,150.4,0.751,16.83,0,0.9842
159,36,3,100,6.31,202.0,0.788,17.99,0,0.9842
160,37,0,100,6.14,151.3,0.738,17.99,0,0.9839
161,37,1,100,4.38,174.5,0.252,15.26,0,0.9838
162,37,2,100,2.73,177.1,0.461,13.49,0,0.9838
163,37,3,100,1.83,175.8,0.828,20.21,0,0.9838
164,38,0,100,5.02,80.3,0.641,18.6,0,0.9834
165,38,1,100,3.28,201.1,0.426,15.9,0,0.9834
166,38,2,100,4.16,42.3,0.377,15.73,0,0.9834
167,38,3,100,4.49,201.9,0.142,13.92,0,0.9834
168,39,0,100,3.24,166.9,0.522,16.59,0,0.983
169,39,1,100,2.59,164.4,0.229,15.7,0,0.983
170,39,2,100,6.04,154.2,0.447,16.33,0,0.9829
171,39,3,100,2.45,109.2,0.124,13.04,0,0.9829
172,40,0,100,2.38,116.3,0.82,17.24,0,0.9826
173,40,1,100,4.75,110.9,0.696,18.47,0,0.9825
174,40,2,100,6.12,95.9,0.595,15.24,0,0.9825
175,40,3,100,3.0,169.1,0.503,15.66,0,0.9825
176,41,0,100,4.65,61.3,0.803,18.75,0,0.9821
177,41,1,100,2.72,92.5,0.374,15.97,0,0.9821
178,41,2,100,3.87,219.1,0.518,16.38,0,0.9821
179,41,3,100,6.17,41.4,0.583,14.13,0,0.9821
180,42,0,100,5.66,146.7,0.368,15.64,0,0.9817
181,42,1,100,2.5,207.7,0.407,13.86,0,0.9817
182,42,2,100,6.1,158.8,0.597,19.09,0,0.9817
183,42,3,100,4.67,197.9,0.618,13.47,0,0.9816
184,42,4,100,4.92,207.0,0.302,15.13,0,0.9816
185,42,5,100,2.15,206.5,0.314,14.19,0,0.9816
186,43,0,100,4.09,206.9,0.394,17.93,0,0.9812
187,43,1,100,6.32,141.9,0.36,15.25,0,0.9812
188,43,2,100,4.82,173.5,0.472,18.49,0,0.9812
189,43,3,100,1.74,173.0,0.223,15.23,0,0.9812
190,44,0,100,3.94,170.3,0.54,16.7,0,0.9808
191,44,1,100,1.03,181.2,0.275,13.77,0,0.9808
